visaSubclassCode,visaSubclassText,visaSubclassSort,visaCategory,streamCode,streamText,percent75,percent90,percent25,percent50,updated,endDate,additionalInfo
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,47,Foreign Affairs or Defence Sector,13 Days,35 Days,1 Day,4 Days,02 November 2023,30 September 2023,<p>​<br><br></p>
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,45,Postgraduate Research Sector,53 Days,13 Months,3 Days,14 Days,02 November 2023,30 September 2023,
100,<a href='/visas/getting-a-visa/visa-listing/partner-offshore/migrant-100'>100 - Partner (Migrant) visa (subclass 100)</a>,100 - Partner (Migrant) visa (subclass 100),Family,,,17 Months,27 Months,12 Months,15 Months,02 November 2023,30 September 2023,<p>The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.<br></p>​<br>
101,<a href='/visas/getting-a-visa/visa-listing/child-101'>101 - Child (subclass 101)</a>,101 - Child (subclass 101),Family,,,18 Months,28 Months,6 Months,11 Months,02 November 2023,30 September 2023,
102,<a href='/visas/getting-a-visa/visa-listing/adoption-102'>102 - Adoption (subclass 102)</a>,102 - Adoption (subclass 102),Family,,,16 Months,23 Months,4 Months,8 Months,02 November 2023,30 September 2023,
124,<a href='/visas/getting-a-visa/visa-listing/distinguished-talent-124'>124 - Distinguished Talent (subclass 124)</a>,124 - Distinguished Talent (subclass 124),Skilled,,,33 Months,35 Months,31 Months,32 Months,02 November 2023,30 September 2023,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/significant-business-history-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,1,Significant Business History,42 Months,45 Months,38 Months,39 Months,02 November 2023,30 September 2023,
117,<a href='/visas/getting-a-visa/visa-listing/orphan-relative-117'>117 - Orphan Relative (subclass 117)</a>,117 - Orphan Relative (subclass 117),Family,,,89 Months,115 Months,40 Months,64 Months,02 November 2023,30 September 2023,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/venture-capital-entrepreneur-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,2,Venture Capital Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,02 November 2023,30 September 2023,
155,<a href='/visas/getting-a-visa/visa-listing/resident-return-visa-155-157'>155 - Resident Return 5 Year (subclass 155)</a>,155 - Resident Return 5 Year (subclass 155),Resident Return/ADV,,,1 Day,9 Days,Less than 1 Day,Less than 1 Day,02 November 2023,30 September 2023,"<p>​Generally, applications that meet the residence requirements will be processed within 5 working days from lodgement. Applications that do not meet the residence requirement will take longer to finalise.​<br></p>"
157,<a href='/visas/getting-a-visa/visa-listing/resident-return-visa-155-157'>157 - Resident Return 3mth  (subclass 157)</a>,157 - Resident Return 3mth  (subclass 157),Resident Return/ADV,,,85 Days,4 Months,8 Days,41 Days,02 November 2023,30 September 2023,
159,159 - Provisional Resident Return  (subclass 159),159 - Provisional Resident Return  (subclass 159),Resident Return/ADV,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,31 August 2023,28 February 2023,
186,<a href='/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/direct-entry-stream'>186 - Employer Nomination Scheme visa (subclass 186)</a>,186 - Employer Nomination Scheme visa (subclass 186),Skilled,3,Direct Entry Pathway,10 Months,11 Months,65 Days,6 Months,02 November 2023,30 September 2023,
186,<a href='/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/labour-agreement-stream'>186 - Employer Nomination Scheme visa (subclass 186)</a>,186 - Employer Nomination Scheme visa (subclass 186),Skilled,4,Agreement Pathway,9 Months,11 Months,56 Days,7 Months,02 November 2023,30 September 2023,
186,<a href='/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/temporary-residence-transition-stream'>186 - Employer Nomination Scheme visa (subclass 186)</a>,186 - Employer Nomination Scheme visa (subclass 186),Skilled,5,Transition Pathway,11 Months,12 Months,6 Months,9 Months,02 November 2023,30 September 2023,
187,<a href='/visas/getting-a-visa/visa-listing/regional-sponsor-migration-scheme-187/direct-entry-stream'>187 - Regional Sponsor Migration Scheme (subclass 187)</a>,187 - Regional Sponsor Migration Scheme (subclass 187),Skilled,6,Direct Entry Pathway,60 Months,64 Months,36 Months,48 Months,02 November 2023,30 September 2023,
187,<a href='/visas/getting-a-visa/visa-listing/regional-sponsor-migration-scheme-187/temporary-residence-transistion-stream'>187 - Regional Sponsor Migration Scheme (subclass 187)</a>,187 - Regional Sponsor Migration Scheme (subclass 187),Skilled,8,Transition Pathway,16 Months,23 Months,11 Months,13 Months,02 November 2023,30 September 2023,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/business-innovation-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,9,Business Innovation,35 Months,39 Months,17 Months,29 Months,02 November 2023,30 September 2023,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/investor-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,10,Investor,40 Months,44 Months,23 Months,37 Months,02 November 2023,30 September 2023,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/significant-investor-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,11,Significant Investor,20 Months,22 Months,16 Months,18 Months,02 November 2023,30 September 2023,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/premium-investor'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,39,Premium Investor,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,02 November 2023,30 September 2023,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/entrepreneur-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,48,Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,02 November 2023,30 September 2023,
190,<a href='/visas/getting-a-visa/visa-listing/skilled-nominated-190'>190 - Skilled Nominated   (subclass 190)</a>,190 - Skilled Nominated   (subclass 190),Skilled,,,5 Months,9 Months,4 Months,5 Months,02 November 2023,30 September 2023,
300,<a href='/visas/getting-a-visa/visa-listing/prospective-marriage-300'>300 - Prospective Marriage  (subclass 300)</a>,300 - Prospective Marriage  (subclass 300),Family,,,18 Months,33 Months,5 Months,11 Months,02 November 2023,30 September 2023,
309,<a href='/visas/getting-a-visa/visa-listing/partner-offshore/provisional-309'>309 - Partner (Provisional)  (subclass 309)</a>,309 - Partner (Provisional)  (subclass 309),Family,,,16 Months,23 Months,5 Months,10 Months,02 November 2023,30 September 2023,<p>We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.<br></p>​<br>
400,<a href='/visas/getting-a-visa/visa-listing/temporary-work-400'>400 - Temporary Work (short stay) (subclass 400)</a>,400 - Temporary Work (short stay) (subclass 400),Temporary Resident (Other Employment),,,8 Days,16 Days,4 Days,7 Days,02 November 2023,30 September 2023,
403,<a href='/visas/getting-a-visa/visa-listing/temporary-work-403/government-agreement'>403 - Temporary Work (International Relations) (subclass 403)</a>,403 - Temporary Work (International Relations) (subclass 403),Temporary Resident (Other Employment),24,Government Agreement,12 Days,19 Days,6 Days,8 Days,02 November 2023,30 September 2023,
403,<a href='/visas/getting-a-visa/visa-listing/temporary-work-403/foreign-government-agency'>403 - Temporary Work (International Relations) (subclass 403)</a>,403 - Temporary Work (International Relations) (subclass 403),Temporary Resident (Other Employment),25,Foreign Government Agency,31 Days,56 Days,5 Days,13 Days,02 November 2023,30 September 2023,
403,<a href='/visas/getting-a-visa/visa-listing/temporary-work-403/domestic-worker'>403 - Temporary Work (International Relations) (subclass 403)</a>,403 - Temporary Work (International Relations) (subclass 403),Temporary Resident (Other Employment),26,Domestic Worker (Diplomatic or Consular),3 Months,9 Months,13 Days,25 Days,02 November 2023,30 September 2023,
403,<a href='/visas/getting-a-visa/visa-listing/temporary-work-403/privileges-immunities'>403 - Temporary Work (International Relations) (subclass 403)</a>,403 - Temporary Work (International Relations) (subclass 403),Temporary Resident (Other Employment),27,Privileges and Immunities,14 Days,23 Days,3 Days,9 Days,02 November 2023,30 September 2023,
407,<a href='/visas/getting-a-visa/visa-listing/training-407'>407 - Training visa (subclass 407)</a>,407 - Training visa (subclass 407),Temporary Resident (Other Employment),,,325 Days,41 Days,11 Days,19 Days,02 November 2023,30 September 2023,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/entertainment-activities'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),50,Entertainment Activities,11 Days,14 Days,5 Days,8 Days,02 November 2023,30 September 2023,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/research-activities'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),53,Research Activities,14 Days,79 Days,5 Days,7 Days,02 November 2023,30 September 2023,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/religious-work'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),52,Religious Work,20 Days,48 Days,6 Days,10 Days,02 November 2023,30 September 2023,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/special-program'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),54,Special Programs,6 Days,32 Days,2 Days,4 Days,02 November 2023,30 September 2023,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/invited-for-other-social-and-cultural-activity'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),56,Invited for Other Social and Cultural Activity,9 Days,14 Days,2 Days,6 Days,02 November 2023,30 September 2023,<p>​</p><p><br><br></p>
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/australian-government-endorsed-events'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),57,Australian Government Endorsed Events,12 Days,21 Days,5 Days,7 Days,02 November 2023,30 September 2023,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/exchange-arrangements'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),55,Exchange Arrangements,30 Days,68 Days,5 Days,12 Days,02 November 2023,30 September 2023,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/superyacht-crew'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),58,Superyacht Crew,4 Days,12 Days,1 Day,3 Days,02 November 2023,30 September 2023,
417,<a href='/visas/getting-a-visa/visa-listing/work-holiday-417'>417 - Working Holiday (subclass 417)</a>,417 - Working Holiday (subclass 417),Working Holiday Maker,,,3 Days,14 Days,Less than 1 Day,Less than 1 Day,02 November 2023,30 September 2023,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/domestic-work-for-executives'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),59,Domestic Work for Executives,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,02 November 2023,30 September 2023,
